time_min,distance,name,sex,flag_finished,last_distance,last_time,distance_diff_m,rank
0.0,0.0,Jakob Kintzele,M,1,26.2,161.93916666666667,0.0,1.0
0.0,0.0,James Quattlebaum,M,0,24.0,129.38299999999998,0.0,1.0
0.0,0.0,James Withers,M,1,26.2,142.518,0.0,1.0
0.0,0.0,Jarrod Ottman,M,1,26.2,148.50799999999998,0.0,1.0
0.0,0.0,Jason Salyer,M,0,17.0,93.45100000000001,0.0,1.0
0.0,0.0,Jason Weitzel,M,1,26.2,149.42883333333333,0.0,1.0
0.0,0.0,Jerod Broadbooks,M,1,26.2,136.32266666666666,0.0,1.0
0.0,0.0,Jesse Davis,M,1,26.2,144.27833333333334,0.0,1.0
0.0,0.0,Jesse Joseph,M,1,26.2,141.69683333333333,0.0,1.0
0.0,0.0,Joel Reichow,M,1,26.2,136.605,0.0,1.0
0.0,0.0,John Dewitt,M,1,26.2,139.26316666666668,0.0,1.0
0.0,0.0,John Flavin,M,0,21.0,106.48166666666665,0.0,1.0
0.0,0.0,John McGowan,M,1,26.2,143.89233333333334,0.0,1.0
0.0,0.0,John Raneri,M,0,21.0,120.03,0.0,1.0
0.0,0.0,Johnny Hogue,M,1,26.2,150.77516666666668,0.0,1.0
0.0,0.0,Johnny Rutford,M,1,26.2,143.60566666666668,0.0,1.0
0.0,0.0,Jonas Hampton,M,0,18.0,94.80866666666667,0.0,1.0
0.0,0.0,Jonathan Aziz,M,1,26.2,137.8311666666667,0.0,1.0
0.0,0.0,Jonathan Mott,M,1,26.2,143.31283333333334,0.0,1.0
0.0,0.0,Jonathan Phillips,M,1,26.2,137.80116666666666,0.0,1.0
0.0,0.0,Joost Plaetinck,M,1,26.2,142.31266666666667,0.0,1.0
0.0,0.0,Jordan Daniel,M,1,26.2,142.41266666666667,0.0,1.0
0.0,0.0,Joseph Trojan,M,1,26.2,146.12283333333335,0.0,1.0
0.0,0.0,Joseph Whelan,M,1,26.2,142.6165,0.0,1.0
0.0,0.0,Josh Izewski,M,1,26.2,131.137,0.0,1.0
0.0,0.0,Joshua Kalapos,M,1,26.2,134.4195,0.0,1.0
0.0,0.0,Julian Heninger,M,1,26.2,136.74483333333333,0.0,1.0
0.0,0.0,Kevin Colon,M,1,26.2,165.15050000000002,0.0,1.0
0.0,0.0,Kevin Havel,M,0,10.0,53.60366666666666,0.0,1.0
0.0,0.0,Kevin Koski,M,1,26.2,140.556,0.0,1.0
0.0,0.0,Kevin Lewis,M,1,26.2,156.5618333333333,0.0,1.0
0.0,0.0,Kevin Lynch,M,0,16.0,85.50266666666667,0.0,1.0
0.0,0.0,Kevin McDonnell,M,1,26.2,140.1595,0.0,1.0
0.0,0.0,Kevin Salvano,M,1,26.2,143.20733333333334,0.0,1.0
0.0,0.0,Kevin Wood,M,0,21.0,117.29533333333333,0.0,1.0
0.0,0.0,Kristoffer Mugrage,M,0,22.0,120.07766666666666,0.0,1.0
0.0,0.0,Kurt Roeser,M,1,26.2,150.90433333333334,0.0,1.0
0.0,0.0,Leonard Korir,M,1,26.2,129.9425,0.0,1.0
0.0,0.0,Louis Serafini,M,1,26.2,137.13916666666668,0.0,1.0
0.0,0.0,Lyle O'Brien,M,1,26.2,134.46866666666668,0.0,1.0
0.0,0.0,Malcolm Richards,M,1,26.2,138.5205,0.0,1.0
0.0,0.0,Marcos Bailon,M,1,26.2,141.10516666666666,0.0,1.0
0.0,0.0,Marcus Graham,M,1,26.2,144.39583333333334,0.0,1.0
0.0,0.0,Mark Messmer,M,1,26.2,145.84283333333332,0.0,1.0
0.0,0.0,Martin Hehir,M,1,26.2,140.3563333333333,0.0,1.0
0.0,0.0,Mason Frank,M,0,10.0,54.48966666666667,0.0,1.0
0.0,0.0,Mason Jones,M,1,26.2,141.96450000000002,0.0,1.0
0.0,0.0,Matt Gillette,M,1,26.2,139.696,0.0,1.0
0.0,0.0,Matt Lenehan,M,1,26.2,150.37449999999998,0.0,1.0
0.0,0.0,Matthew Llano,M,1,26.2,140.95333333333335,0.0,1.0
0.0,0.0,Matthew McDonald,M,1,26.2,140.749,0.0,1.0
0.0,0.0,Matthew Rand,M,1,26.2,170.569,0.0,1.0
0.0,0.0,Matthew Welch,M,0,18.0,98.31416666666668,0.0,1.0
0.0,0.0,Medhane Woldu,M,1,26.2,144.183,0.0,1.0
0.0,0.0,Michael Blaszczyk,M,1,26.2,140.81016666666667,0.0,1.0
0.0,0.0,Michael Duggan,M,1,26.2,140.0465,0.0,1.0
0.0,0.0,Michael Iacofano,M,0,22.0,120.14266666666667,0.0,1.0
0.0,0.0,Mitch Ammons,M,1,26.2,146.03816666666668,0.0,1.0
0.0,0.0,Mitchell Klingler,M,1,26.2,141.9025,0.0,1.0
0.0,0.0,Nadir Yusuf,M,1,26.2,136.2485,0.0,1.0
0.0,0.0,Nathan Martin,M,1,26.2,130.98833333333334,0.0,1.0
0.0,0.0,Nicholas Hauger,M,1,26.2,135.92616666666666,0.0,1.0
0.0,0.0,Nick Wolk,M,1,26.2,140.87583333333333,0.0,1.0
0.0,0.0,Nicolas Montanez,M,1,26.2,139.13633333333334,0.0,1.0
0.0,0.0,Noah Droddy,M,0,14.0,74.81649999999999,0.0,1.0
0.0,0.0,Noah Gade,M,0,12.0,64.7105,0.0,1.0
0.0,0.0,Noah Steffen,M,1,26.2,150.9865,0.0,1.0
0.0,0.0,Oscar Medina,M,1,26.2,142.20566666666667,0.0,1.0
0.0,0.0,Owen Ritz,M,1,26.2,145.39583333333334,0.0,1.0
0.0,0.0,Pardon Ndhlovu,M,1,26.2,153.42133333333334,0.0,1.0
0.0,0.0,Parker Stinson,M,0,21.0,107.9915,0.0,1.0
0.0,0.0,Paul Chelimo,M,0,17.0,84.523,0.0,1.0
0.0,0.0,Paxton Smith,M,1,26.2,145.63333333333333,0.0,1.0
0.0,0.0,Phillip Reid,M,1,26.2,145.67616666666666,0.0,1.0
0.0,0.0,Prescott Leach,M,1,26.2,141.11666666666667,0.0,1.0
0.0,0.0,Reed Fischer,M,1,26.2,131.5625,0.0,1.0
0.0,0.0,Reid Buchanan,M,0,13.0,69.12216666666667,0.0,1.0
0.0,0.0,Riley Cook,M,1,26.2,142.88216666666668,0.0,1.0
0.0,0.0,Roman Kirkov,M,1,26.2,139.23566666666665,0.0,1.0
0.0,0.0,Ryan Cutter,M,1,26.2,143.39849999999998,0.0,1.0
0.0,0.0,Ryan Jara,M,1,26.2,143.60750000000002,0.0,1.0
0.0,0.0,Ryan Root,M,1,26.2,144.54966666666667,0.0,1.0
0.0,0.0,Ryder Searle,M,1,26.2,142.47083333333333,0.0,1.0
0.0,0.0,Sam Chelanga,M,0,18.0,96.9195,0.0,1.0
0.0,0.0,Sam Geha,M,1,26.2,142.91616666666667,0.0,1.0
0.0,0.0,Samuel Doud,M,0,13.0,72.85833333333333,0.0,1.0
0.0,0.0,Scott Fauble,M,0,10.0,49.99333333333333,0.0,1.0
0.0,0.0,Scott Nelson,M,1,26.2,143.07116666666667,0.0,1.0
0.0,0.0,Sean O'Connor,M,0,11.0,57.9775,0.0,1.0
0.0,0.0,Sem Sultanov,M,0,9.0,48.176,0.0,1.0
0.0,0.0,Sergio Reyes,M,0,18.0,100.91566666666667,0.0,1.0
0.0,0.0,Shadrack Biwott,M,0,15.0,76.35,0.0,1.0
0.0,0.0,Shadrack Kipchirchir,M,1,26.2,140.00516666666667,0.0,1.0
0.0,0.0,Spencer Bossi-Johnson,M,1,26.2,138.24416666666667,0.0,1.0
0.0,0.0,Spencer Friske,M,1,26.2,145.725,0.0,1.0
0.0,0.0,Steven Martinez,M,0,18.0,94.869,0.0,1.0
0.0,0.0,Swarnjit Boyal,M,1,26.2,152.50466666666668,0.0,1.0
0.0,0.0,Sydney Gidabuday,M,1,26.2,135.843,0.0,1.0
0.0,0.0,T-Roy Brown,M,0,12.0,66.2135,0.0,1.0
0.0,0.0,Tai Smith,M,1,26.2,136.8961666666667,0.0,1.0
0.0,0.0,Teshome Mekonen,M,0,19.0,93.1905,0.0,1.0
0.0,0.0,Thomas Slattery,M,1,26.2,147.28699999999998,0.0,1.0
0.0,0.0,Travis Morrison,M,1,26.2,148.09166666666667,0.0,1.0
0.0,0.0,Turner Wiley,M,1,26.2,136.686,0.0,1.0
0.0,0.0,Tyler Jermann,M,1,26.2,146.00050000000002,0.0,1.0
0.0,0.0,Tyler McCandless,M,1,26.2,143.93633333333335,0.0,1.0
0.0,0.0,Tyler Pence,M,1,26.2,141.8005,0.0,1.0
0.0,0.0,Tyler Pennel,M,0,11.0,54.844,0.0,1.0
0.0,0.0,Tyler Sickler,M,1,26.2,158.58866666666665,0.0,1.0
