time_min,distance,name,gender
0.0,0.0,Abigail McNulty,F
5.0,0.8491367110104726,Abigail McNulty,F
10.0,1.7022487902077996,Abigail McNulty,F
15.0,2.55285196921684,Abigail McNulty,F
20.0,3.39948221521837,Abigail McNulty,F
25.0,4.241885928160437,Abigail McNulty,F
30.0,5.081253198385171,Abigail McNulty,F
35.0,5.934155910615797,Abigail McNulty,F
40.0,6.781239417541483,Abigail McNulty,F
45.0,7.628243865247225,Abigail McNulty,F
50.0,8.484084308594761,Abigail McNulty,F
55.0,9.339489836139423,Abigail McNulty,F
60.0,10.184012830252385,Abigail McNulty,F
65.0,11.027765425236241,Abigail McNulty,F
70.0,11.861561978877154,Abigail McNulty,F
75.0,12.693546598658314,Abigail McNulty,F
80.0,13.526542523624235,Abigail McNulty,F
85.0,14.363613417096701,Abigail McNulty,F
90.0,15.200713991487026,Abigail McNulty,F
95.0,16.02519019442096,Abigail McNulty,F
100.0,16.87049873203719,Abigail McNulty,F
105.0,17.69021355213824,Abigail McNulty,F
110.0,18.501266778071262,Abigail McNulty,F
115.0,19.315824175824176,Abigail McNulty,F
120.0,20.137203166226914,Abigail McNulty,F
125.0,20.944914113402618,Abigail McNulty,F
130.0,21.74444740346205,Abigail McNulty,F
135.0,22.553148805812345,Abigail McNulty,F
140.0,23.362046337217087,Abigail McNulty,F
145.0,24.172676740873158,Abigail McNulty,F
150.0,25.010363680874793,Abigail McNulty,F
155.0,25.826401545031693,Abigail McNulty,F
160.0,26.2,Abigail McNulty,F
165.0,26.2,Abigail McNulty,F
170.0,26.2,Abigail McNulty,F
175.0,26.2,Abigail McNulty,F
180.0,26.2,Abigail McNulty,F
0.0,0.0,Adrian Walsh,F
5.0,0.846262341325811,Adrian Walsh,F
10.0,1.6954083222389031,Adrian Walsh,F
15.0,2.548628926515022,Adrian Walsh,F
20.0,3.398800641909964,Adrian Walsh,F
25.0,4.241312902955706,Adrian Walsh,F
30.0,5.080003408025901,Adrian Walsh,F
35.0,5.9320098832751125,Adrian Walsh,F
40.0,6.779412179903441,Adrian Walsh,F
45.0,7.627993206906312,Adrian Walsh,F
50.0,8.485582601181045,Adrian Walsh,F
55.0,9.344747302668939,Adrian Walsh,F
60.0,10.195829914844259,Adrian Walsh,F
65.0,11.044589774078478,Adrian Walsh,F
70.0,11.893918804144725,Adrian Walsh,F
75.0,12.73954195892842,Adrian Walsh,F
80.0,13.582208881532807,Adrian Walsh,F
85.0,14.420772637384063,Adrian Walsh,F
90.0,15.256707759245831,Adrian Walsh,F
95.0,16.094976185075982,Adrian Walsh,F
100.0,16.945509185756407,Adrian Walsh,F
105.0,17.768355088525848,Adrian Walsh,F
110.0,18.576959142665775,Adrian Walsh,F
115.0,19.371357637527765,Adrian Walsh,F
120.0,20.150027759551808,Adrian Walsh,F
125.0,20.90710644526321,Adrian Walsh,F
130.0,21.641223047874284,Adrian Walsh,F
135.0,22.368794668727062,Adrian Walsh,F
140.0,23.08720811953254,Adrian Walsh,F
145.0,23.7653427970795,Adrian Walsh,F
150.0,24.50044639440859,Adrian Walsh,F
155.0,25.256659192272625,Adrian Walsh,F
160.0,25.995884976467977,Adrian Walsh,F
165.0,26.2,Adrian Walsh,F
170.0,26.2,Adrian Walsh,F
175.0,26.2,Adrian Walsh,F
180.0,26.2,Adrian Walsh,F
0.0,0.0,Alexandra Greitzer,F
5.0,0.8281116294476496,Alexandra Greitzer,F
10.0,1.6466028395800467,Alexandra Greitzer,F
15.0,2.4579776491180825,Alexandra Greitzer,F
20.0,3.2650770635304225,Alexandra Greitzer,F
25.0,4.070881845623113,Alexandra Greitzer,F
30.0,4.879420008624407,Alexandra Greitzer,F
35.0,5.68403140659753,Alexandra Greitzer,F
40.0,6.491590399827219,Alexandra Greitzer,F
45.0,7.302066428648707,Alexandra Greitzer,F
50.0,8.115179796870711,Alexandra Greitzer,F
55.0,8.938676914630799,Alexandra Greitzer,F
60.0,9.747422541656572,Alexandra Greitzer,F
65.0,10.55532510908797,Alexandra Greitzer,F
70.0,11.357927411652339,Alexandra Greitzer,F
75.0,12.153238379621065,Alexandra Greitzer,F
80.0,12.945987368866104,Alexandra Greitzer,F
85.0,13.719551117059611,Alexandra Greitzer,F
90.0,14.500301165379074,Alexandra Greitzer,F
95.0,15.281642549459619,Alexandra Greitzer,F
100.0,16.056977791911805,Alexandra Greitzer,F
105.0,16.85201674882069,Alexandra Greitzer,F
110.0,17.511779994969398,Alexandra Greitzer,F
115.0,18.168551183476556,Alexandra Greitzer,F
120.0,18.922357907432534,Alexandra Greitzer,F
125.0,19.663281654383674,Alexandra Greitzer,F
130.0,20.40657426530968,Alexandra Greitzer,F
135.0,21.14662630788665,Alexandra Greitzer,F
140.0,21.861644064160927,Alexandra Greitzer,F
145.0,22.604829637777165,Alexandra Greitzer,F
150.0,23.349212598425197,Alexandra Greitzer,F
155.0,24.090626116242284,Alexandra Greitzer,F
160.0,24.85604939531561,Alexandra Greitzer,F
165.0,25.61480602741109,Alexandra Greitzer,F
170.0,26.2,Alexandra Greitzer,F
175.0,26.2,Alexandra Greitzer,F
180.0,26.2,Alexandra Greitzer,F
0.0,0.0,Aliphine Tuliamuk,F
5.0,0.9007926975738649,Aliphine Tuliamuk,F
10.0,1.8387056236255104,Aliphine Tuliamuk,F
15.0,2.7749797419435267,Aliphine Tuliamuk,F
20.0,3.708399415368349,Aliphine Tuliamuk,F
25.0,4.625128826917248,Aliphine Tuliamuk,F
30.0,5.53742761353246,Aliphine Tuliamuk,F
35.0,6.4458313282001924,Aliphine Tuliamuk,F
40.0,7.337286555160557,Aliphine Tuliamuk,F
45.0,8.20692899914457,Aliphine Tuliamuk,F
50.0,9.063895056678742,Aliphine Tuliamuk,F
55.0,9.940370456935844,Aliphine Tuliamuk,F
60.0,10.816845857192943,Aliphine Tuliamuk,F
65.0,11.693321257450044,Aliphine Tuliamuk,F
70.0,12.569796657707144,Aliphine Tuliamuk,F
75.0,13.446272057964244,Aliphine Tuliamuk,F
80.0,14.322747458221343,Aliphine Tuliamuk,F
85.0,15.199222858478445,Aliphine Tuliamuk,F
90.0,16.075698258735546,Aliphine Tuliamuk,F
95.0,16.952173658992645,Aliphine Tuliamuk,F
100.0,17.828649059249745,Aliphine Tuliamuk,F
105.0,18.705124459506848,Aliphine Tuliamuk,F
110.0,19.581599859763948,Aliphine Tuliamuk,F
115.0,20.458075260021047,Aliphine Tuliamuk,F
120.0,21.334550660278147,Aliphine Tuliamuk,F
125.0,22.211026060535247,Aliphine Tuliamuk,F
130.0,23.087501460792346,Aliphine Tuliamuk,F
135.0,23.963976861049446,Aliphine Tuliamuk,F
140.0,24.840452261306545,Aliphine Tuliamuk,F
145.0,25.716927661563645,Aliphine Tuliamuk,F
150.0,26.2,Aliphine Tuliamuk,F
155.0,26.2,Aliphine Tuliamuk,F
160.0,26.2,Aliphine Tuliamuk,F
165.0,26.2,Aliphine Tuliamuk,F
170.0,26.2,Aliphine Tuliamuk,F
175.0,26.2,Aliphine Tuliamuk,F
180.0,26.2,Aliphine Tuliamuk,F
0.0,0.0,Allie Schaich,F
5.0,0.847457627118644,Allie Schaich,F
10.0,1.6950723327305606,Allie Schaich,F
15.0,2.5467535794597365,Allie Schaich,F
20.0,3.397072097483922,Allie Schaich,F
25.0,4.2405857740585775,Allie Schaich,F
30.0,5.079068839753818,Allie Schaich,F
35.0,5.933867107362662,Allie Schaich,F
40.0,6.778637335433779,Allie Schaich,F
45.0,7.626922750063738,Allie Schaich,F
50.0,8.484483850538316,Allie Schaich,F
55.0,9.343317906930524,Allie Schaich,F
60.0,10.194359583616203,Allie Schaich,F
65.0,11.04302750474464,Allie Schaich,F
70.0,11.892813641900121,Allie Schaich,F
75.0,12.738312492959334,Allie Schaich,F
80.0,13.582995495495496,Allie Schaich,F
85.0,14.421561008104808,Allie Schaich,F
90.0,15.25590166224333,Allie Schaich,F
95.0,16.095414977174126,Allie Schaich,F
100.0,16.94606856267899,Allie Schaich,F
105.0,17.770188037936517,Allie Schaich,F
110.0,18.597028116886705,Allie Schaich,F
115.0,19.42306108442004,Allie Schaich,F
120.0,20.238911933631144,Allie Schaich,F
125.0,21.036693580621954,Allie Schaich,F
130.0,21.83611799504357,Allie Schaich,F
135.0,22.63264277567044,Allie Schaich,F
140.0,23.42716212642158,Allie Schaich,F
145.0,24.229868268753787,Allie Schaich,F
150.0,25.054301870838177,Allie Schaich,F
155.0,25.84702991227143,Allie Schaich,F
160.0,26.2,Allie Schaich,F
165.0,26.2,Allie Schaich,F
170.0,26.2,Allie Schaich,F
175.0,26.2,Allie Schaich,F
180.0,26.2,Allie Schaich,F
0.0,0.0,Alyssa Bloomquist,F
5.0,0.8186432352780659,Alyssa Bloomquist,F
10.0,1.6324027187305372,Alyssa Bloomquist,F
15.0,2.446477112101772,Alyssa Bloomquist,F
20.0,3.2542475728155336,Alyssa Bloomquist,F
25.0,4.045859906321946,Alyssa Bloomquist,F
30.0,4.839741723782053,Alyssa Bloomquist,F
35.0,5.625055472890073,Alyssa Bloomquist,F
40.0,6.413994863784385,Alyssa Bloomquist,F
45.0,7.204173804703317,Alyssa Bloomquist,F
50.0,7.9828687120386235,Alyssa Bloomquist,F
55.0,8.781503875556028,Alyssa Bloomquist,F
60.0,9.580541202791244,Alyssa Bloomquist,F
65.0,10.376134923986488,Alyssa Bloomquist,F
70.0,11.161784897025171,Alyssa Bloomquist,F
75.0,11.924561403508772,Alyssa Bloomquist,F
80.0,12.679169911815693,Alyssa Bloomquist,F
85.0,13.42501233349778,Alyssa Bloomquist,F
90.0,14.165209660690472,Alyssa Bloomquist,F
95.0,14.906060157060304,Alyssa Bloomquist,F
100.0,15.62657864523536,Alyssa Bloomquist,F
105.0,16.34743552593451,Alyssa Bloomquist,F
110.0,17.071863228049843,Alyssa Bloomquist,F
115.0,17.79629093016517,Alyssa Bloomquist,F
120.0,18.520718632280502,Alyssa Bloomquist,F
125.0,19.245146334395834,Alyssa Bloomquist,F
130.0,19.969574036511162,Alyssa Bloomquist,F
135.0,20.694001738626493,Alyssa Bloomquist,F
140.0,21.418429440741825,Alyssa Bloomquist,F
145.0,22.142857142857153,Alyssa Bloomquist,F
150.0,22.867284844972485,Alyssa Bloomquist,F
155.0,23.591712547087816,Alyssa Bloomquist,F
160.0,24.316140249203144,Alyssa Bloomquist,F
165.0,25.040567951318476,Alyssa Bloomquist,F
170.0,25.764995653433807,Alyssa Bloomquist,F
175.0,26.2,Alyssa Bloomquist,F
180.0,26.2,Alyssa Bloomquist,F
0.0,0.0,Amanda Phillips,F
5.0,0.8433362381581537,Amanda Phillips,F
10.0,1.6998739327259182,Amanda Phillips,F
15.0,2.5516004181145293,Amanda Phillips,F
20.0,3.4077109546346533,Amanda Phillips,F
25.0,4.270797016546166,Amanda Phillips,F
30.0,5.1267458297992645,Amanda Phillips,F
35.0,5.97492225049477,Amanda Phillips,F
40.0,6.81651942224092,Amanda Phillips,F
45.0,7.660435260001689,Amanda Phillips,F
50.0,8.518663081504611,Amanda Phillips,F
55.0,9.374877165398546,Amanda Phillips,F
60.0,10.217770770573496,Amanda Phillips,F
65.0,11.062261182288154,Amanda Phillips,F
70.0,11.905147224095302,Amanda Phillips,F
75.0,12.740666555388637,Amanda Phillips,F
80.0,13.578405594405593,Amanda Phillips,F
85.0,14.415254944504715,Amanda Phillips,F
90.0,15.246371244340787,Amanda Phillips,F
95.0,16.07271162123386,Amanda Phillips,F
100.0,16.933543758967,Amanda Phillips,F
105.0,17.766763606148732,Amanda Phillips,F
110.0,18.592130175891118,Amanda Phillips,F
115.0,19.418306433782888,Amanda Phillips,F
120.0,20.23340459925953,Amanda Phillips,F
125.0,21.015805888883015,Amanda Phillips,F
130.0,21.808743458265052,Amanda Phillips,F
135.0,22.61229759535209,Amanda Phillips,F
140.0,23.4007611015402,Amanda Phillips,F
145.0,24.18504187280617,Amanda Phillips,F
150.0,25.0134554973822,Amanda Phillips,F
155.0,25.798795811518325,Amanda Phillips,F
160.0,26.2,Amanda Phillips,F
165.0,26.2,Amanda Phillips,F
170.0,26.2,Amanda Phillips,F
175.0,26.2,Amanda Phillips,F
180.0,26.2,Amanda Phillips,F
0.0,0.0,Amber Zimmerman,F
5.0,0.8930697785186948,Amber Zimmerman,F
10.0,1.8111810781753954,Amber Zimmerman,F
15.0,2.7219868030752465,Amber Zimmerman,F
20.0,3.622625706679429,Amber Zimmerman,F
25.0,4.519359464627151,Amber Zimmerman,F
30.0,5.4095257719819845,Amber Zimmerman,F
35.0,6.297911234978573,Amber Zimmerman,F
40.0,7.195113261882848,Amber Zimmerman,F
45.0,8.086884604974285,Amber Zimmerman,F
50.0,8.989113109380169,Amber Zimmerman,F
55.0,9.869430021414532,Amber Zimmerman,F
60.0,10.748710584925565,Amber Zimmerman,F
65.0,11.628041273377498,Amber Zimmerman,F
70.0,12.499293357561072,Amber Zimmerman,F
75.0,13.364790764790763,Amber Zimmerman,F
80.0,14.230418733417926,Amber Zimmerman,F
85.0,15.09420392848006,Amber Zimmerman,F
90.0,15.94698541743654,Amber Zimmerman,F
95.0,16.81494033136369,Amber Zimmerman,F
100.0,17.655205905205904,Amber Zimmerman,F
105.0,18.490332840443042,Amber Zimmerman,F
110.0,19.318977705274605,Amber Zimmerman,F
115.0,20.12931529743563,Amber Zimmerman,F
120.0,20.91272784248185,Amber Zimmerman,F
