,time,point,label,pid,bib,bib_display,tag,name,timeOfDay,epochTime,milePace,milePaceAvg,mph,kmPace,kmPaceAvg,kmh,etnp,etfp,startTime,sex,profile_color,_ver,alias,pace,paceAvg,splitTime,netTime,waveTime,course,country,country_iso,city,timestamp,i,u,place,leaderDiff,profile_pic,team,placeChange,isFinish,distance
12,00:05:00.29,1M,1M,R5V97CW3,411,411,00411,Brian Shrader,10:14:59 am,1706973298.98,05:01,05:01,11.99,03:07,03:07,19.29,2M~00:10:00~10:19 am,FINISH~02:12:55~12:22 pm,10:09:59 am,M,9,8,1M,05:01 min/mile,05:01 min/mile,00:05:00.29,00:05:00.29,00:05:00.29,marathon,USA,us,Cambridge,1706955298.98,1706973308_000095,1706978341_000095,9,+00:00.66,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760150_brian-shrer2-1234.jpg?v=8,Saucony,,,1.0
13,00:05:00.33,1M,1M,RDVYHMN5,407,407,00407,Scott Fauble,10:15:00 am,1706973299.02,05:01,05:01,11.99,03:07,03:07,19.29,2M~00:10:00~10:19 am,FINISH~02:11:06~12:21 pm,10:09:59 am,M,11,13,1M,05:01 min/mile,05:01 min/mile,00:05:00.33,00:05:00.33,00:05:00.33,marathon,USA,us,Portland,1706955299.02,1706973309_000338,1706976272_000177,,,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706759922_scott-fauble-9843.jpeg?v=13,NIKE,,,1.0
14,00:05:00.39,1M,1M,RK6WXUHV,435,435,00435,John Flavin,10:15:00 am,1706973299.08,05:01,05:01,11.98,03:07,03:07,19.29,2M~00:10:01~10:19 am,FINISH~02:12:57~12:22 pm,10:09:59 am,M,6,16,1M,05:01 min/mile,05:01 min/mile,00:05:00.39,00:05:00.39,00:05:00.39,marathon,USA,us,Rochester Hills,1706955299.08,1706973310_000083,1706980043_000233,,,,Hansons-Brooks Distance Project,,,1.0
15,00:05:00.42,1M,1M,RCJXR87V,401,401,00401,Galen Rupp,10:15:00 am,1706973299.11,05:01,05:01,11.98,03:07,03:07,19.29,2M~00:10:01~10:19 am,FINISH~02:14:07~12:24 pm,10:09:59 am,M,6,17,1M,05:01 min/mile,05:01 min/mile,00:05:00.42,00:05:00.42,00:05:00.42,marathon,USA,us,Portland,1706955299.11,1706973309_000341,1706981370_000426,10,+00:00.79,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706755401_galen-rupp-5067.jpeg?v=17,NIKE,,,1.0
16,00:05:00.53,1M,1M,RH73UT98,417,417,00417,Joel Reichow,10:15:00 am,1706973299.22,05:01,05:01,11.98,03:07,03:07,19.28,2M~00:10:01~10:19 am,FINISH~02:16:37~12:26 pm,10:09:59 am,M,13,16,1M,05:01 min/mile,05:01 min/mile,00:05:00.53,00:05:00.53,00:05:00.53,marathon,USA,us,White Bear Lake,1706955299.22,1706973309_000344,1706985929_000103,11,+00:00.90,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760600_joel-reichow2-6812.jpg?v=16,Minnesota Distance Elite,,,1.0
17,00:05:00.63,1M,1M,RDJC2LAX,414,414,00414,Teshome Mekonen,10:15:00 am,1706973299.32,05:01,05:01,11.97,03:07,03:07,19.27,2M~00:10:01~10:19 am,FINISH~02:08:34~12:18 pm,10:09:59 am,M,7,12,1M,05:01 min/mile,05:01 min/mile,00:05:00.63,00:05:00.63,00:05:00.63,marathon,USA,us,New York,1706955299.32,1706973309_000347,1706984413_000070,,,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760427_teshome-asfaha-862.jpg?v=12,,,,1.0
18,00:05:00.67,1M,1M,R7HVR8JX,424,424,00424,Frank Lara,10:15:00 am,1706973299.36,05:01,05:01,11.97,03:07,03:07,19.27,2M~00:10:02~10:20 am,FINISH~02:14:55~12:24 pm,10:09:59 am,M,3,20,1M,05:01 min/mile,05:01 min/mile,00:05:00.67,00:05:00.67,00:05:00.67,marathon,USA,us,Westminster,1706955299.36,1706973308_000092,1706984413_000068,12,+00:01.04,,Roots Running Project,,,1.0
19,00:05:00.69,1M,1M,R24ZBN3A,413,413,00413,Nicolas Montanez,10:15:00 am,1706973299.38,05:01,05:01,11.97,03:07,03:07,19.27,2M~00:10:00~10:19 am,FINISH~02:19:09~12:29 pm,10:09:59 am,M,1,10,1M,05:01 min/mile,05:01 min/mile,00:05:00.69,00:05:00.69,00:05:00.69,marathon,USA,us,Mammoth Lakes,1706955299.38,1706973309_000352,1706984413_000130,13,+00:01.06,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760384_nicolas-montanez-7564.jpg?v=10,ASICS / ASICS Mammoth Track Club,,,1.0
20,00:05:00.77,1M,1M,R3KFB24Y,602,602,00602,Joshua Kalapos,10:15:00 am,1706973299.46,05:01,05:01,11.97,03:07,03:07,19.26,2M~00:10:02~10:19 am,FINISH~02:14:26~12:24 pm,10:09:59 am,M,8,13,1M,05:01 min/mile,05:01 min/mile,00:05:00.77,00:05:00.77,00:05:00.77,marathon,USA,us,Somerville,1706955299.46,1706973310_000089,1706984413_000113,14,+00:01.14,,Boston Athletic Association,,,1.0
21,00:05:00.78,1M,1M,R2FL4HC3,612,612,00612,Michael Iacofano,10:15:00 am,1706973299.47,05:01,05:01,11.97,03:07,03:07,19.26,2M~00:10:01~10:19 am,FINISH~02:23:13~12:33 pm,10:09:59 am,M,2,6,1M,05:01 min/mile,05:01 min/mile,00:05:00.78,00:05:00.78,00:05:00.78,marathon,USA,us,Boise,1706955299.47,1706973309_000355,1706984413_000109,15,+00:01.15,,The Track Club Boulder,,,1.0
